Title,Genre,Artist,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Crazy,pop,Gnarls Barkley,6o1l9I0faXJN2iqulHrdCQ,Crazy,St. Elsewhere,71.0,N,2006-05-02,0.836,0.741,-1.609,0.0339,0.0172,0.0583,0.0826,0.611,8.0,1.0,111.963,182066.0
Smells Like Teen Spirit,rock,Nirvana,5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,Nevermind (Remastered),77.0,N,1991-09-26,0.502,0.912,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,1.0,1.0,116.761,301920.0
Mr. Brightside,rock,The Killers,003vvx7Niy0yvhvHt4a68B,Mr. Brightside,Hot Fuss,86.0,N,2004,0.352,0.911,-5.23,0.0747,0.00121,0.0,0.0995,0.236,1.0,1.0,148.033,222973.0
Creep,rock,Radiohead,70LcF31zb1H0PyJoS1Sx1r,Creep,Pablo Honey,86.0,N,1993-02-22,0.515,0.43,-9.935,0.0372,0.0097,0.000133,0.129,0.104,7.0,1.0,91.844,238640.0
Come as You Are,rock,Nirvana,4P5KoWXOxwuobLmHXLMobV,Come As You Are,Nevermind (Remastered),76.0,N,1991-09-26,0.5,0.824,-5.846,0.0388,0.00016,0.00161,0.0916,0.539,4.0,0.0,120.125,218920.0
Feel Good Inc.,rock,Gorillaz,0d28khcov6AiegSCpG5TuT,Feel Good Inc.,Demon Days,82.0,N,2005-05-23,0.818,0.705,-6.679,0.177,0.00836,0.00233,0.613,0.772,6.0,1.0,138.559,222640.0
Yellow,rock,Coldplay,3AJwUDP919kvQ9QcozQPxg,Yellow,Parachutes,89.0,N,2000-07-10,0.429,0.661,-7.227,0.0281,0.00239,0.000121,0.234,0.285,11.0,1.0,173.372,266773.0
Viva la Vida,rock,Coldplay,1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Viva La Vida or Death and All His Friends,86.0,N,2008-05-26,0.486,0.617,-7.115,0.0287,0.0954,3.23e-06,0.109,0.417,5.0,0.0,138.015,242373.0
Karma Police,rock,Radiohead,63OQupATfueTdZMWTxW03A,Karma Police,OK Computer,77.0,N,1997-05-28,0.36,0.501,-9.129,0.0258,0.0638,9.32e-05,0.172,0.324,7.0,1.0,74.807,264067.0
No Surprises,rock,Radiohead,10nyNJ6zNy2YVYLrcwLccB,No Surprises,OK Computer,82.0,N,1997-05-28,0.255,0.393,-10.654,0.0278,0.0577,0.00361,0.113,0.118,5.0,1.0,76.426,229120.0
Take Me Out,rock,Franz Ferdinand,20I8RduZC2PWMWTDCZuuAN,Take Me Out,Franz Ferdinand,81.0,N,2004-02-16,0.277,0.663,-8.821,0.0377,0.000409,0.00051,0.136,0.527,4.0,0.0,104.561,237027.0
Chop Suey!,rock,System of a Down,2DlHlPMa4M17kufBvI2lEN,Chop Suey!,Toxicity,83.0,N,2001-09-04,0.417,0.934,-3.908,0.119,0.000278,0.0015,0.132,0.287,7.0,0.0,127.066,210240.0
Californication,rock,Red Hot Chili Peppers,48UPSzbZjgc449aqz8bxox,Californication,Californication (Deluxe Edition),82.0,N,1999-06-08,0.592,0.767,-2.788,0.027,0.0021,0.00165,0.127,0.328,9.0,0.0,96.483,329733.0
Everlong,rock,Foo Fighters,5UWwZ5lm5PKu6eKsHAGxOk,Everlong,The Colour And The Shape,82.0,N,1997-05-20,0.413,0.881,-5.541,0.0367,5.99e-05,0.000308,0.0805,0.364,11.0,0.0,158.066,250547.0
In the End,rock,Linkin Park,60a0Rd6pjrkxjPbaKzXjfq,In the End,Hybrid Theory (Bonus Edition),87.0,N,2000,0.556,0.864,-5.87,0.0584,0.00958,0.0,0.209,0.4,3.0,0.0,105.143,216880.0
Seven Nation Army,rock,The White Stripes,3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,Elephant,83.0,N,2003-04-01,0.743,0.446,-7.807,0.0683,0.0039,0.118,0.337,0.278,4.0,0.0,123.596,232107.0
The Scientist,rock,Coldplay,75JFxkI2RXiU7L9VXzMkle,The Scientist,A Rush of Blood to the Head,85.0,N,2002-08-27,0.557,0.442,-7.224,0.0243,0.731,1.46e-05,0.11,0.213,5.0,1.0,146.277,309600.0
Somebody Told Me,rock,The Killers,6PwjJ58I4t7Mae9xfZ9l9v,Somebody Told Me,Hot Fuss,80.0,N,2004,0.497,0.97,-4.851,0.0836,9.04e-05,0.000674,0.101,0.689,10.0,0.0,138.081,197200.0
Wonderwall,rock,Oasis,1qPbGZqppFwLwcBC1JQ6Vr,Wonderwall,(What's The Story) Morning Glory?,72.0,N,1995-10-02,0.41,0.854,-5.609,0.0366,0.00236,0.0,0.133,0.456,2.0,1.0,174.584,258907.0
Under the Bridge,rock,Red Hot Chili Peppers,3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,Blood Sugar Sex Magik (Deluxe Edition),81.0,N,1991-09-24,0.559,0.345,-13.496,0.0459,0.0576,0.000105,0.141,0.458,4.0,1.0,84.581,264307.0
Sex on Fire,rock,Kings of Leon,0ntQJM78wzOLVeCUAW7Y45,Sex on Fire,Only By The Night,84.0,N,2008-09-23,0.542,0.905,-5.653,0.054,0.00172,0.0104,0.136,0.374,9.0,1.0,153.398,203347.0
Numb,rock,Linkin Park,2nLtzopw4rPReszdYBJU6h,Numb,Meteora,88.0,N,2003-09-16,0.488,0.87,-4.185,0.0421,0.00353,0.0,0.484,0.211,6.0,0.0,110.072,187520.0
Do I Wanna Know?,rock,Arctic Monkeys,5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,AM,85.0,N,2013-09-09,0.548,0.532,-7.596,0.0323,0.186,0.000263,0.217,0.405,5.0,1.0,85.03,272394.0
Clocks,rock,Coldplay,0BCPKOYdS2jbQ8iyB56Zns,Clocks,A Rush of Blood to the Head,82.0,N,2002-08-27,0.577,0.749,-7.215,0.0279,0.599,0.0115,0.183,0.255,5.0,0.0,130.97,307880.0
Lithium,rock,Nirvana,2YodwKJnbPyNKe8XXSE9V7,Lithium,Nevermind (Remastered),70.0,N,1991-09-26,0.678,0.656,-6.41,0.0381,0.00174,0.0,0.0631,0.485,7.0,1.0,123.207,257053.0
Supermassive Black Hole,rock,Muse,3lPr8ghNDBLc2uZovNyLs9,Supermassive Black Hole,Black Holes and Revelations,78.0,N,2006-06-19,0.668,0.921,-3.727,0.0439,0.0492,0.00517,0.0877,0.782,7.0,1.0,120.0,212440.0
Sweet Child o' Mine,rock,Guns N' Roses,7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine,Appetite For Destruction,84.0,N,1987-07-21,0.445,0.952,-5.321,0.0522,0.09,0.0843,0.112,0.624,6.0,1.0,125.304,356067.0
505,rock,Arctic Monkeys,58ge6dfP91o9oXMzq3XkIS,505,Favourite Worst Nightmare (Standard Version),80.0,N,2007-04-24,0.52,0.852,-5.866,0.0543,0.00237,5.79e-05,0.0733,0.234,0.0,1.0,140.267,253587.0
