Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Lover,Taylor Swift,Pop,1dGr1c8CrMLDpV6mPbImSI,Lover,Lover,85.0,N,2019-08-23,0.359,0.543,-7.582,0.0919,0.492,1.58e-05,0.118,0.453,7.0,1.0,68.534,221307.0
Me!,Taylor Swift ft. Brendon Urie,Pop,2Rk4JlNc2TPmZe2af99d45,ME! (feat. Brendon Urie of Panic! At The Disco),Lover,73.0,Y,2019-08-23,0.61,0.83,-4.105,0.0571,0.033,0.0,0.118,0.728,0.0,1.0,182.162,193000.0
Just Dance,Lady Gaga ft. Colby O'Donis,Pop,2x7MyWybabEz6Y6wvHuwGE,Just Dance,The Fame,74.0,Y,2008-01-01,0.822,0.739,-4.541,0.0311,0.0264,4.28e-05,0.181,0.745,1.0,0.0,118.99,241933.0
Umbrella,Rihanna ft. Jay-Z,Pop,2E5RQ54P4GP9AI9p5vtZuz,Umbrella - Made famous by Rihanna Ft. Jay Z,2007 Hot Hits vol 4,10.0,N,2010-11-30,0.573,0.854,-4.411,0.0771,0.0647,0.0,0.0353,0.788,1.0,1.0,174.126,260694.0
Peaches,"Justin Bieber ft. Daniel Caesar, Giveon",Pop,7GCCkL5embPPU3MB0xY79C,Peaches (made popular by Justin Bieber ft. Daniel Caesar & GIVEON) [backing version],Super Hits 38 - Party Tyme (Backing Versions),0.0,N,2024-03-04,0.688,0.339,-11.529,0.0354,0.228,0.3,0.385,0.372,0.0,1.0,89.974,198200.0
Savage Love,Jawsh 685 & Jason Derulo,Pop,1xQ6trAsedVPCdbtDAmk0c,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),70.0,Y,2020-06-11,0.767,0.481,-8.52,0.0803,0.234,0.0,0.269,0.761,0.0,0.0,150.076,171375.0
I Gotta Feeling,The Black Eyed Peas,Pop,2H1047e0oMSj10dgp7p2VG,I Gotta Feeling,THE E.N.D. (THE ENERGY NEVER DIES),74.0,N,2009-01-01,0.744,0.766,-6.375,0.0265,0.0873,0.0,0.509,0.61,0.0,1.0,127.966,289133.0
Good 4 U,Olivia Rodrigo,Pop,4ZtFanR9U6ndgddUvNcjcG,good 4 u,SOUR,82.0,N,2021-05-21,0.563,0.664,-5.044,0.154,0.335,0.0,0.0849,0.688,9.0,1.0,166.928,178147.0
Deja Vu,Olivia Rodrigo,Pop,6HU7h9RYOaPRFeh0R3UeAr,deja vu,SOUR,83.0,N,2021-05-21,0.442,0.612,-7.222,0.112,0.584,5.7e-06,0.37,0.178,2.0,1.0,180.917,215507.0
Ghost,Justin Bieber,Pop,6I3mqTwhRpn34SLVafSH7G,Ghost,Justice,84.0,N,2021-03-19,0.601,0.741,-5.569,0.0478,0.185,2.91e-05,0.415,0.441,2.0,1.0,153.96,153190.0
Stay,The Kid LAROI & Justin Bieber,Pop,567e29TDzLwZwfDuEpGTwo,STAY (with Justin Bieber),F*CK LOVE 3+: OVER YOU,83.0,Y,2021-07-27,0.591,0.764,-5.484,0.0483,0.0383,0.0,0.103,0.478,1.0,1.0,169.928,141806.0
Montero (Call Me By Your Name),Lil Nas X,Pop,1SC5rEoYDGUK4NfG82494W,MONTERO (Call Me By Your Name),MONTERO,77.0,N,2021-09-17,0.593,0.503,-6.725,0.22,0.293,0.0,0.405,0.71,8.0,0.0,178.781,137704.0
Heat Waves,Glass Animals,Pop,3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Dreamland,85.0,N,2020-08-07,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,11.0,1.0,80.87,238805.0
