Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
HUMBLE.,Kendrick Lamar,Rap,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,DAMN.,84.0,N,2017-04-14,0.908,0.621,-6.638,0.102,0.000282,5.39e-05,0.0958,0.421,1.0,0.0,150.011,177000.0
Sicko Mode,Travis Scott,Rap,2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,ASTROWORLD,81.0,N,2018-08-03,0.834,0.73,-3.714,0.222,0.00513,0.0,0.124,0.446,8.0,1.0,155.008,312820.0
Gin and Juice,Snoop Dogg,Rap,39QBkWKnap8wRSW4WB9OK0,Gin and Juice,Doggystyle,72.0,N,1993-11-23,0.603,0.762,-7.744,0.285,0.0953,1.53e-05,0.478,0.379,4.0,0.0,94.726,211867.0
In Da Club,50 Cent,Rap,4RY96Asd9IefaL3X4LOLZ8,In Da Club,Get Rich Or Die Tryin',73.0,N,2003-02-06,0.904,0.72,-2.776,0.348,0.259,0.0,0.0749,0.805,6.0,0.0,90.062,193467.0
Runaway,Kanye West,Rap,3DK6m7It6Pw857FcQftMds,Runaway,My Beautiful Dark Twisted Fantasy,81.0,Y,2010-11-22,0.374,0.568,-3.825,0.109,0.219,0.00219,0.513,0.111,1.0,0.0,84.733,547733.0
Hotline Bling,Drake,Rap,0wwPcA6wtMf6HUMpIRdeP7,Hotline Bling,Views,75.0,N,2016-05-06,0.891,0.628,-7.863,0.0551,0.00258,0.00019,0.0504,0.552,2.0,1.0,134.966,267067.0
Still D.R.E.,Dr. Dre ft. Snoop Dogg,Rap,503OTo2dSqe7qk76rgsbep,Still D.R.E.,2001,81.0,Y,1999-11-16,0.816,0.775,-3.323,0.234,0.16,0.00031,0.0543,0.527,11.0,1.0,93.431,270587.0
Gold Digger,Kanye West ft. Jamie Foxx,Rap,7eyGVYDYGLTBY5JP0NtmHZ,Gold Digger (made popular by Kanye West ft. Jamie Foxx) [vocal version],Pop Party Pack 2 - Party Tyme (Vocal Versions),0.0,N,2024-02-16,0.833,0.705,-10.071,0.188,0.122,0.0,0.0426,0.945,6.0,1.0,92.023,208099.0
Mo Money Mo Problems,The Notorious B.I.G. ft. Puff Daddy & Mase,Rap,7DgbDZ76V5lcO8BCJtAjDR,Mo Money Mo Problems (2014 Remaster) [feat. Diddy & Mase],FTW,0.0,Y,2024-08-28,0.845,0.884,-4.506,0.0754,0.0128,2.34e-06,0.203,0.907,6.0,0.0,104.532,257400.0
Stan,Eminem ft. Dido,Rap,1NMMXC1Yya8mHUBplxnumk,Stan (Karaoke Version) - Originally Performed By Eminem Ft Dido,"Imma Hustler - Hip Hop Allstars, Vol. 1",1.0,N,2012-01-01,0.624,0.579,-8.761,0.0432,0.0246,0.8,0.386,0.598,8.0,0.0,79.964,337032.0
All of the Lights,Kanye West,Rap,22L7bfCiAkJo5xGSQgmiIO,All Of The Lights,My Beautiful Dark Twisted Fantasy,77.0,N,2010-11-22,0.531,0.803,-3.284,0.0717,0.0796,1.71e-05,0.176,0.221,1.0,1.0,142.113,299613.0
God's Plan,Drake,Rap,6DCZcSspjsKoFjzjrWoCdn,God's Plan,Scorpion,81.0,N,2018-06-29,0.754,0.449,-9.211,0.109,0.0332,8.29e-05,0.552,0.357,7.0,1.0,77.169,198973.0
Ms. Jackson,OutKast,Rap,0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,Stankonia,81.0,N,2000-10-31,0.843,0.806,-5.946,0.269,0.143,0.0,0.0771,0.613,4.0,0.0,94.948,270507.0
Hot Boyz,Missy Elliott,Rap,7mYvtEeBdMqRSyj1Qpv6my,Hot Boyz,Da Real World,47.0,N,1999,0.727,0.445,-11.241,0.291,0.339,0.0,0.18,0.527,1.0,1.0,81.125,215467.0
