Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
You're Makin' Me High,Toni Braxton,R&B,5bJ796cOnGBzSN5bm4mwMj,You're Makin' Me High,Secrets,60.0,N,1996-06-18,0.853,0.563,-8.663,0.0379,0.0118,2.12e-05,0.119,0.893,10.0,0.0,92.112,267440.0
I Wanna Dance with Somebody,Whitney Houston,R&B,2tUBqZG2AbRi7Q0BIrVrEj,I Wanna Dance with Somebody (Who Loves Me),Whitney,81.0,N,1987-06-02,0.709,0.824,-8.824,0.0453,0.207,0.000307,0.0888,0.867,1.0,1.0,118.818,291293.0
Feel the Fire,Stephanie Mills,R&B,2Dlo3MHqNxgRKOX6KAmWWO,Feel the Fire,TP (Expanded Edition),43.0,Y,1980-07-25,0.428,0.367,-12.35,0.0657,0.566,0.0,0.102,0.331,5.0,1.0,100.742,332867.0
Ascension (Don't Ever Wonder),Maxwell,R&B,6l4TNbfPtNAOOlGIfceSaO,Ascension (Don't Ever Wonder) - Remastered 2021,Maxwell's Urban Hang Suite,62.0,N,1996-04-02,0.762,0.459,-10.307,0.0379,0.111,0.0219,0.147,0.749,0.0,1.0,96.069,345976.0
Boo'd Up,Ella Mai,R&B,0At2qAoaVjIwWNAqrscXli,Boo'd Up,READY,65.0,N,2017-02-22,0.561,0.779,-5.107,0.0531,0.0862,0.0,0.078,0.235,10.0,0.0,81.965,256064.0
Let It Burn,Usher,R&B,4246UjQPBpiu6SgyNkyxgv,Let It Burn Like Usher,Back Rapping,0.0,Y,2021-12-24,0.726,0.704,-7.829,0.104,0.081,0.000931,0.317,0.251,1.0,1.0,97.413,138789.0
Tell Me,Groove Theory,R&B,2lp8xjq0WTm3HZKHuDEweg,Tell Me,Groove Theory,62.0,N,1995-07-25,0.8,0.362,-10.849,0.0634,0.035,3.99e-06,0.0667,0.888,6.0,0.0,93.059,236067.0
Single Ladies (Put a Ring on It),Beyoncé,R&B,5R9a4t5t5O0IsznsrKPVro,Single Ladies (Put a Ring on It),I AM...SASHA FIERCE,65.0,N,2008-11-17,0.426,0.584,-5.293,0.296,0.0383,0.0,0.188,0.272,1.0,1.0,193.437,193213.0
U Remind Me,Usher,R&B,2QsZVnbWVSjKMXK6K3uRBL,U Remind Me,8701,71.0,N,2001-08-07,0.657,0.629,-4.938,0.0782,0.194,0.0,0.254,0.726,6.0,1.0,93.985,266893.0
Don't You Worry 'Bout a Thing,Stevie Wonder,R&B,0Os5joeFKlhI8N57GBF8cG,Don't You Worry 'Bout A Thing,The Wonder Of Stevie (Music From the Audible Original Podcast),23.0,N,2024-09-26,0.715,0.725,-9.218,0.0411,0.0316,0.0,0.066,0.92,11.0,1.0,124.704,284840.0
Before I Let Go,Maze ft. Frankie Beverly,R&B,7EIqakFnWSmh4QVU91sY4j,Before I Let Go,Live In New Orleans,45.0,Y,1981-01-09,0.785,0.558,-6.283,0.036,0.197,0.000116,0.064,0.963,6.0,0.0,103.162,306160.0
Adore,Prince,R&B,7tyckyaQOzlsTjnujLinRt,Adore - 2020 Remaster,Sign O' The Times,42.0,N,1987-03-31,0.717,0.435,-11.57,0.07,0.46,6.39e-05,0.289,0.775,7.0,1.0,129.235,394864.0
Cranes in the Sky,Solange,R&B,48EjSdYh8wz2gBxxqzrsLe,Cranes in the Sky,A Seat at the Table,62.0,N,2016-09-30,0.719,0.615,-5.972,0.045,0.408,0.000147,0.235,0.465,6.0,1.0,96.988,250973.0
No Guidance,Chris Brown ft. Drake,R&B,6XHVuErjQ4XNm6nDPVCxVX,No Guidance (feat. Drake),Indigo,75.0,Y,2019-06-28,0.696,0.454,-6.756,0.153,0.123,0.0,0.155,0.136,1.0,0.0,92.928,260640.0
Touch My Body,Mariah Carey,R&B,2aEuXA1KswHlCGPOuPmCOW,Touch My Body,E=MC2 (Deluxe Version),70.0,N,2008-04-04,0.714,0.665,-7.736,0.0509,0.0996,0.0,0.226,0.842,4.0,0.0,78.515,204733.0
Nice & Slow,Usher,R&B,5L0KDoZklMgs9GPoonneEl,Nice & Slow - Radio Version,My Way,64.0,N,1997-09-16,0.819,0.299,-11.964,0.122,0.153,0.0,0.3,0.515,5.0,0.0,121.913,227907.0
In Those Jeans,Ginuwine,R&B,5ojJNnX5ND2gMGojPd3NiO,In Those Jeans,The Senior,59.0,N,2003-04-08,0.691,0.541,-5.873,0.0776,0.508,0.0,0.0753,0.319,1.0,1.0,127.683,243307.0
Don't,Bryson Tiller,R&B,3pXF1nA74528Edde4of9CC,Don't,T R A P S O U L,83.0,N,2015-10-02,0.765,0.356,-5.556,0.195,0.223,0.0,0.0963,0.189,11.0,0.0,96.991,198293.0
Golden,Jill Scott,R&B,0bHs3ly4Bv5BlzE3KrePfX,Golden,Beautifully Human: Words and Sounds Vol. 2,54.0,N,2004-08-31,0.769,0.558,-6.232,0.0828,0.275,1.06e-06,0.0758,0.593,10.0,0.0,100.007,231560.0
Killing Me Softly With His Song,Fugees,R&B,0Q0IVlqMV64kNLlwjPj0Hl,Killing Me Softly With His Song,The Score (Expanded Edition),77.0,Y,1996-02-13,0.765,0.289,-17.125,0.147,0.0268,1.77e-06,0.562,0.501,4.0,0.0,92.413,298667.0
Say It,Tory Lanez,R&B,2Gyc6e2cLxA5hoX1NOvYnU,Say It,I Told You,74.0,N,2016-08-19,0.546,0.529,-10.511,0.0583,0.0869,6.37e-06,0.124,0.248,11.0,0.0,107.333,237787.0
Differences,Ginuwine,R&B,0Uyh92tLyb9JawG8lmWCzJ,Differences,The Life,65.0,N,2001-04-03,0.562,0.594,-4.578,0.0558,0.318,0.0,0.311,0.423,3.0,0.0,62.876,265533.0
Good Kisser,Usher,R&B,3CX3WMBg6lzWk72bYL29vP,Good Kisser,Good Kisser,56.0,N,2014-05-05,0.64,0.782,-4.177,0.189,0.379,0.0,0.109,0.825,5.0,0.0,97.516,249626.0
Charlene,Anthony Hamilton,R&B,0xiuSFBOEHWaJ6rSuUbJWc,Charlene,Comin' From Where I'm From,59.0,N,2003-07-15,0.556,0.346,-9.809,0.311,0.536,0.0,0.106,0.451,0.0,0.0,123.869,246773.0
When a Woman's Fed Up,R. Kelly,R&B,015A6ZcNAWSSuwY7iDcD1b,When a Woman's Fed Up,R.,45.0,N,1998-11-08,0.682,0.579,-6.526,0.101,0.467,2.21e-06,0.0952,0.712,2.0,0.0,76.915,278760.0
Call Out My Name,The Weeknd,R&B,09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,"My Dear Melancholy,",84.0,N,2018-03-30,0.461,0.593,-4.954,0.0356,0.165,0.0,0.307,0.174,1.0,1.0,134.165,228373.0
Blow Your Mind (Mwah),Dua Lipa,R&B,7kJlTKjNZVT26iwiDUVhRm,Blow Your Mind (Mwah),Blow Your Mind (Mwah),61.0,N,2016-08-26,0.654,0.796,-4.761,0.122,0.0188,0.0,0.0948,0.491,2.0,0.0,108.854,178583.0
That's the Way Love Goes,Janet Jackson,R&B,29rQJydAlO0uMyWvRIZxQg,That's The Way Love Goes,Janet,65.0,N,1993-05-18,0.703,0.7,-6.789,0.0693,0.302,0.471,0.0718,0.582,5.0,1.0,97.675,265107.0
How Deep Is Your Love,Dru Hill,R&B,60NvAO9lx0KmBNAVHIlWN6,How Deep Is Your Love,Enter The Dru,56.0,N,1998-01-01,0.729,0.434,-9.111,0.079,0.0473,1.23e-05,0.314,0.743,3.0,0.0,94.411,243360.0
All Night,Beyoncé,R&B,7oAuqs6akGnPU3Tb00ZmyM,All Night,Lemonade,60.0,N,2016-04-23,0.574,0.573,-7.079,0.085,0.392,2.16e-05,0.0933,0.626,11.0,1.0,136.304,322000.0
