Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Autumn Leaves,Bill Evans Trio,Jazz,6Mh2Ieqmav2dtir0O8MB9L,Autumn Leaves - Album Version - (Take 1),Portrait In Jazz,34.0,N,1960,0.626,0.295,-13.651,0.037,0.919,0.695,0.0797,0.579,7.0,0.0,103.064,356960.0
Birdland,Weather Report,Jazz,19vVghIuHm3IAfN4xpRF3q,Birdland,Heavy Weather,44.0,N,1977-03-01,0.589,0.532,-12.021,0.0359,0.434,0.00157,0.0794,0.527,0.0,1.0,156.868,356760.0
Goodbye Pork Pie Hat,Charles Mingus,Jazz,3PJMsxg6rz9FOo6xNiASXz,Goodbye Pork Pie Hat,Mingus Ah Um,52.0,N,1959,0.356,0.0937,-16.64,0.0353,0.957,0.096,0.209,0.278,8.0,0.0,86.669,342373.0
Strange Fruit,Billie Holiday,Jazz,1CTex49P0iWwzUGsMNjgaV,Strange Fruit,Billie Holiday,54.0,N,1957-01-01,0.313,0.0437,-22.627,0.0315,0.989,0.148,0.209,0.0625,6.0,1.0,100.827,192867.0
Mood Indigo,Duke Ellington,Jazz,77zlKibPvqudmNxMNpAtv6,Mood Indigo,In a Sentimental Mood,37.0,N,2018-03-02,0.285,0.136,-12.604,0.0424,0.993,0.832,0.288,0.0452,7.0,0.0,70.412,159773.0
Maiden Voyage,Herbie Hancock,Jazz,0T1EaGm6b9eM7xBf4F1hlc,Maiden Voyage,Maiden Voyage,47.0,N,1965-05-17,0.467,0.459,-9.706,0.0305,0.719,0.00312,0.0944,0.178,0.0,0.0,124.379,477093.0
Watermelon Man,Herbie Hancock,Jazz,2zQl59dZMzwhrmeSBEgiXY,Watermelon Man,Head Hunters,51.0,N,1973-10-26,0.724,0.414,-11.19,0.0588,0.262,0.111,0.0785,0.719,1.0,1.0,146.939,388960.0
Bird of Paradise,Charlie Parker,Jazz,6A1m6ZY73dfAHT5wd3GDoX,Bird Of Paradise,The Complete Savoy & Dial Master Takes,13.0,N,2002-09-10,0.575,0.265,-13.777,0.0582,0.857,0.635,0.145,0.39,8.0,1.0,112.296,191027.0
Afro Blue,Mongo Santamaría,Jazz,7L92MWLFM6m3Ry1vCdthmj,Afro Blue,Afro Roots,33.0,N,1989,0.754,0.304,-20.6,0.0633,0.827,0.647,0.0943,0.798,2.0,0.0,94.032,235267.0
Poinciana,Ahmad Jamal,Jazz,4lyupu0V7V9CoKhH52sfS8,Poinciana,Poinciana,41.0,N,1951,0.553,0.0902,-21.491,0.043,0.984,0.91,0.1,0.289,2.0,1.0,89.369,273760.0
Take the 'A' Train,Duke Ellington,Jazz,6KBsivP3Of4z2x6uNMAyE3,"Take the ""A"" Train",Piano In The Background (Expanded Edition),45.0,N,1961-05-15,0.479,0.318,-13.836,0.0395,0.278,0.0959,0.107,0.575,0.0,1.0,94.036,331800.0
Giant Steps,John Coltrane,Jazz,6QvVTzCv70hwn4XyRnobGi,Giant Steps - Mono,Giant Steps (Mono),46.0,N,1960,0.434,0.458,-11.457,0.0479,0.261,0.00869,0.173,0.547,0.0,0.0,146.768,287582.0
All Blues,Miles Davis,Jazz,2xVIAL7w8ngWZfwnsHhLvf,All Blues,Kind of Blue,6.0,N,2018-11-23,0.464,0.13,-20.202,0.0317,0.829,0.0138,0.22,0.435,0.0,1.0,139.508,692357.0
Freddie Freeloader,Miles Davis,Jazz,2x91iJc0UkFcjRMEZ2CoWB,"Freddie Freeloader (feat. John Coltrane, Cannonball Adderley, Wynton Kelly & Paul Chambers)",Kind Of Blue (Legacy Edition),47.0,Y,1959-08-17,0.639,0.186,-15.831,0.0347,0.704,0.00104,0.118,0.498,8.0,1.0,128.375,586400.0
Moanin',Art Blakey & The Jazz Messengers,Jazz,4Vkk3iD1VrENHJEACNddvt,Moanin',Moanin' (Expanded Edition),56.0,N,1959-01-01,0.612,0.493,-8.589,0.0467,0.804,0.266,0.202,0.484,5.0,0.0,126.358,570720.0
Stolen Moments,Oliver Nelson,Jazz,1sce5VJvCOYYDAR9rp9KdG,Stolen Moments,The Blues And The Abstract Truth,51.0,N,1961-08-01,0.575,0.187,-13.081,0.0512,0.927,0.877,0.166,0.342,0.0,0.0,107.469,525613.0
My Funny Valentine,Chet Baker,Jazz,4l9hml2UCnxoNI3yCdL1BW,My Funny Valentine,Chet Baker Sings,63.0,N,1956,0.438,0.00756,-26.44,0.0382,0.941,0.00643,0.109,0.277,0.0,0.0,133.32,141133.0
"Mercy, Mercy, Mercy",Cannonball Adderley,Jazz,6NF8MZ2trxckVBr82pyyPt,"Mercy, Mercy, Mercy",Jazz Profile: Cannonball Adderley,49.0,N,1997-01-01,0.544,0.425,-10.231,0.0346,0.719,0.0186,0.964,0.348,10.0,1.0,84.443,313200.0
